Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,State,Day,Month,Year,RainfallTomorrow
Sale,1.9,14.6,0.0,WSW,31.0,WNW,W,17.0,19.0,88.0,61.0,1031.4,1029.6,6.0,14.1,No,Yes,-38.1,147.0667,Victoria,25,7,2010,1.8
Hobart,16.5,21.1,0.0,S,54.0,NNW,S,13.0,24.0,70.0,83.0,1011.5,1015.0,19.8,15.1,No,No,-42.8806,147.325,Tasmania,17,2,2011,0.0
NorahHead,20.6,24.2,0.8,NE,37.0,ENE,SE,19.0,13.0,93.0,83.0,1009.5,1008.2,21.0,22.8,No,No,-33.281,151.5791,New South Wales,21,1,2014,0.4
Portland,10.9,20.7,0.0,E,41.0,E,ESE,17.0,20.0,67.0,53.0,1014.5,1009.0,15.4,19.7,No,Yes,-38.3333,141.6,Victoria,19,1,2017,18.4
Ballarat,11.3,28.0,0.0,S,43.0,N,W,13.0,19.0,55.0,43.0,1006.1,1003.2,22.6,26.5,No,No,-37.55,143.85,Victoria,27,12,2008,0.0
Darwin,25.2,33.8,0.0,NW,35.0,SE,NNW,9.0,24.0,63.0,61.0,1013.9,1009.5,29.9,32.3,No,No,-12.4381,130.8411,Northern Territory,8,11,2014,0.0
Sale,12.5,31.9,0.2,E,41.0,S,E,7.0,31.0,99.0,35.0,1019.4,1016.3,16.1,29.5,No,No,-38.1,147.0667,Victoria,10,1,2014,0.0
Moree,6.1,21.0,0.0,SSW,31.0,SSW,SSW,19.0,11.0,81.0,39.0,1022.6,1021.0,11.9,20.0,No,No,-29.465,149.8344,New South Wales,25,5,2013,0.0
Brisbane,20.5,29.6,0.2,NNE,22.0,NE,NE,6.0,9.0,61.0,53.0,1015.5,1011.2,25.7,28.1,No,No,-27.4678,153.0281,Queensland,20,12,2016,0.0
Nhil,-0.3,12.0,0.2,SSE,24.0,SSE,SE,6.0,11.0,100.0,59.0,1029.1,1026.8,2.0,11.3,No,No,-36.3333,141.65,Victoria,20,6,2015,0.0
NorfolkIsland,13.2,17.8,0.4,S,31.0,S,SSE,15.0,19.0,54.0,54.0,1030.7,1028.8,16.0,16.5,No,No,-29.0257,167.9416,Tasmania,10,8,2010,0.0
Melbourne,12.7,20.5,0.0,SSW,33.0,SW,SE,13.0,13.0,65.0,45.0,1027.2,1025.8,14.5,19.4,No,No,-37.8136,144.9631,Victoria,27,3,2009,0.0
Tuggeranong,2.3,14.5,0.0,NNW,46.0,W,WSW,22.0,26.0,61.0,48.0,1006.3,1007.0,10.3,13.3,No,No,-35.4244,149.088,New South Wales,20,9,2013,0.0
Ballarat,9.4,18.1,0.0,SE,39.0,S,SE,20.0,22.0,91.0,55.0,1023.8,1021.7,12.6,17.3,No,No,-37.55,143.85,Victoria,15,4,2014,0.0
Townsville,19.1,27.7,0.0,ENE,41.0,ESE,ENE,20.0,30.0,71.0,60.0,1020.6,1016.7,24.2,25.7,No,No,-19.2564,146.8183,Queensland,29,8,2012,0.0
PerthAirport,17.0,29.6,0.0,NE,37.0,ENE,N,20.0,13.0,36.0,20.0,1021.4,1019.0,19.5,28.7,No,No,-31.9522,115.8589,Western Australia,25,4,2012,0.0
Darwin,24.3,34.8,0.0,E,33.0,ENE,ENE,15.0,13.0,60.0,27.0,1011.2,1008.0,28.8,34.2,No,No,-12.4381,130.8411,Northern Territory,20,5,2016,0.0
Portland,14.9,33.5,0.0,N,28.0,N,SSW,11.0,11.0,54.0,27.0,1020.2,1019.1,21.9,32.3,No,No,-38.3333,141.6,Victoria,28,2,2017,0.0
Williamtown,17.6,30.7,0.0,SE,31.0,NW,NW,7.0,20.0,93.0,43.0,1008.2,1005.0,21.0,30.2,No,No,-32.80899676,151.8389966,New South Wales,19,2,2009,0.0
Tuggeranong,3.8,21.2,0.0,N,22.0,SSW,NE,4.0,9.0,73.0,32.0,1028.8,1024.7,12.9,20.8,No,No,-35.4244,149.088,New South Wales,7,4,2017,0.0
MelbourneAirport,9.3,11.9,9.6,SSE,48.0,SSE,S,20.0,20.0,95.0,94.0,1009.3,1009.4,11.4,11.3,Yes,Yes,-37.8136,144.9631,Victoria,13,6,2013,21.0
Albury,10.0,25.8,0.0,WNW,30.0,ENE,NW,7.0,11.0,87.0,41.0,1018.2,1015.9,14.9,24.8,No,No,-36.0806,146.9158,New South Wales,11,3,2012,0.0
MountGambier,7.8,13.7,0.4,S,33.0,SW,S,13.0,15.0,92.0,80.0,1030.7,1028.4,10.9,12.6,No,No,-37.8294,140.7828,South Australia,22,9,2010,0.0
Sale,8.7,19.9,0.6,WSW,76.0,NW,NW,24.0,39.0,52.0,40.0,1001.3,1001.6,17.1,18.7,No,Yes,-38.1,147.0667,Victoria,6,9,2012,5.6
Adelaide,23.0,35.0,0.0,ENE,37.0,NE,NE,15.0,17.0,42.0,25.0,1014.9,1011.9,26.7,34.5,No,No,-34.9289,138.6011,South Australia,4,3,2013,0.0
Hobart,8.5,16.4,5.8,WSW,50.0,SW,SW,24.0,20.0,53.0,48.0,1009.7,1010.5,12.6,15.2,Yes,No,-42.8806,147.325,Tasmania,29,11,2013,0.0
Penrith,18.8,24.0,0.0,SSW,31.0,SSW,SW,17.0,13.0,92.0,98.0,1017.4,1015.0,20.6,21.1,No,Yes,-33.7511,150.6942,New South Wales,19,3,2011,22.0
Watsonia,20.4,26.4,0.0,SSW,37.0,ENE,SSW,7.0,22.0,72.0,65.0,1012.3,1013.1,21.8,21.8,No,No,-37.711,145.083,Victoria,18,1,2014,0.0
Nhil,13.8,26.8,0.0,WSW,54.0,WSW,WSW,22.0,31.0,71.0,32.0,1015.4,1014.1,16.8,24.8,No,No,-36.3333,141.65,Victoria,13,12,2013,0.0
Woomera,14.9,28.6,0.0,SE,39.0,SE,SE,26.0,6.0,48.0,25.0,1024.3,1020.6,19.6,26.9,No,No,-31.2,136.81,South Australia,3,4,2016,0.0
Cobar,8.2,22.7,0.0,NNW,31.0,N,N,15.0,17.0,48.0,38.0,1019.8,1015.2,12.7,21.8,No,No,-31.4997,145.8319,New South Wales,21,7,2009,0.0
Townsville,11.9,27.4,0.0,SSW,33.0,S,NE,6.0,11.0,35.0,30.0,1017.8,1014.1,21.4,26.3,No,No,-19.2564,146.8183,Queensland,16,5,2012,0.4
Dartmoor,8.7,21.3,0.2,NNW,57.0,N,NNW,20.0,26.0,72.0,55.0,1012.8,1009.6,16.3,21.1,No,No,-37.9333296,141.2833322,Victoria,5,5,2016,0.0
Nhil,8.3,19.7,0.0,SSW,43.0,SSW,WSW,19.0,30.0,65.0,42.0,1012.0,1010.1,13.2,17.9,No,No,-36.3333,141.65,Victoria,22,11,2013,0.0
Portland,13.0,17.6,0.0,WSW,52.0,SW,SW,28.0,26.0,51.0,47.0,1020.3,1022.7,14.6,15.7,No,No,-38.3333,141.6,Victoria,16,1,2009,0.0
NorahHead,19.1,25.8,0.2,SSW,46.0,NE,NNE,2.0,30.0,86.0,83.0,1014.9,1009.8,22.9,22.6,No,Yes,-33.281,151.5791,New South Wales,8,11,2011,2.6
Canberra,11.2,39.0,0.0,NW,54.0,WSW,NW,6.0,31.0,40.0,15.0,1012.9,1009.5,24.4,38.8,No,No,-35.2931,149.1269,Australian Capital Territory,23,11,2014,0.2
Portland,6.9,14.9,0.0,SW,19.0,S,SSW,6.0,9.0,72.0,61.0,1021.3,1020.6,12.7,14.3,No,Yes,-38.3333,141.6,Victoria,3,5,2011,1.4
SalmonGums,12.8,22.5,0.0,S,37.0,SE,ESE,17.0,24.0,55.0,40.0,1017.4,1015.0,17.0,20.5,No,Yes,-32.9747,121.638,Western Australia,27,11,2011,3.8
Cairns,22.6,28.5,0.8,SSE,22.0,SSE,ENE,4.0,15.0,96.0,77.0,1014.7,1011.9,23.5,27.6,No,No,-16.9303,145.7703,Queensland,14,7,2012,0.0
Townsville,21.3,32.8,0.0,ENE,37.0,ESE,ENE,19.0,28.0,62.0,56.0,1014.5,1011.5,29.1,31.5,No,No,-19.2564,146.8183,Queensland,19,3,2015,0.0
GoldCoast,12.1,22.1,0.0,SSW,37.0,WNW,S,15.0,24.0,50.0,44.0,1012.8,1012.2,17.5,21.1,No,No,-28.0167,153.4,Queensland,26,5,2011,0.0
NorahHead,14.1,25.3,0.0,W,17.0,WNW,NE,7.0,9.0,67.0,53.0,1019.5,1017.3,18.4,22.2,No,No,-33.281,151.5791,New South Wales,6,5,2016,0.0
Wollongong,17.3,24.6,1.0,SSW,52.0,NE,ENE,6.0,7.0,57.0,71.0,1015.6,1012.5,21.5,22.8,No,Yes,-34.4331,150.8831,New South Wales,12,10,2015,2.8
GoldCoast,19.8,29.4,0.0,ESE,35.0,SSE,ESE,17.0,26.0,58.0,54.0,1016.7,1015.3,27.8,27.9,No,No,-28.0167,153.4,Queensland,12,1,2014,0.0
PerthAirport,19.9,34.5,0.0,ESE,56.0,SSE,SSE,24.0,17.0,45.0,24.0,1011.5,1009.2,25.6,33.8,No,No,-31.9522,115.8589,Western Australia,7,1,2015,0.0
SalmonGums,12.1,22.1,0.0,N,54.0,N,N,31.0,30.0,64.0,40.0,1017.4,1015.0,15.4,20.2,No,Yes,-32.9747,121.638,Western Australia,15,7,2011,8.4
PerthAirport,11.4,16.6,26.8,SW,74.0,SW,SW,13.0,41.0,93.0,82.0,1003.3,1005.0,14.8,14.8,Yes,Yes,-31.9522,115.8589,Western Australia,14,9,2013,3.8
Canberra,-0.1,12.2,0.0,WNW,35.0,NW,WNW,19.0,20.0,74.0,43.0,1017.4,1017.3,4.8,11.7,No,No,-35.2931,149.1269,Australian Capital Territory,6,8,2015,0.0
PearceRAAF,15.3,23.0,0.0,E,65.0,E,ESE,30.0,17.0,61.0,50.0,1025.3,1023.7,16.4,22.6,No,No,-31.6722,116.0318,Western Australia,11,8,2014,0.0
MelbourneAirport,17.8,27.0,0.0,S,26.0,SW,SSE,7.0,13.0,67.0,45.0,1006.7,1003.6,21.4,26.4,No,No,-37.8136,144.9631,Victoria,14,2,2014,0.0
NorfolkIsland,14.8,19.2,0.8,E,37.0,E,ENE,24.0,20.0,68.0,66.0,1023.5,1021.5,17.6,17.7,No,Yes,-29.0257,167.9416,Tasmania,23,10,2010,4.6
PerthAirport,8.0,20.8,0.0,ENE,30.0,ENE,WSW,19.0,11.0,67.0,53.0,1019.9,1017.9,13.1,20.5,No,No,-31.9522,115.8589,Western Australia,21,6,2010,0.0
Penrith,11.5,14.8,17.6,SE,56.0,SW,SSW,19.0,11.0,98.0,98.0,1017.4,1015.0,12.4,11.8,Yes,Yes,-33.7511,150.6942,New South Wales,25,9,2011,25.8
Adelaide,9.9,16.7,0.0,NW,37.0,N,NW,11.0,19.0,70.0,73.0,1019.1,1016.5,12.0,16.1,No,No,-34.9289,138.6011,South Australia,28,7,2014,0.0
Canberra,8.9,29.9,0.4,ESE,54.0,NNW,NE,2.0,11.0,73.0,27.0,1012.9,1008.3,17.7,28.2,No,Yes,-35.2931,149.1269,Australian Capital Territory,26,12,2013,4.0
CoffsHarbour,12.1,21.4,15.0,NW,26.0,WNW,NNW,4.0,6.0,78.0,63.0,1005.3,1001.6,17.7,21.1,Yes,No,-30.3022,153.1189,New South Wales,4,6,2012,0.0
PearceRAAF,6.6,27.3,0.0,SSW,35.0,ESE,SW,11.0,6.0,50.0,25.0,1027.3,1023.7,18.8,26.7,No,No,-31.6722,116.0318,Western Australia,26,4,2017,0.0
NorahHead,21.1,28.9,0.2,NE,52.0,NNE,NE,19.0,35.0,77.0,72.0,1014.9,1010.7,24.5,25.6,No,No,-33.281,151.5791,New South Wales,23,1,2017,0.0
SalmonGums,12.4,29.4,0.0,N,31.0,NNE,E,19.0,11.0,58.0,24.0,1017.4,1015.0,19.8,28.4,No,No,-32.9747,121.638,Western Australia,26,3,2014,0.0
Sale,14.3,18.3,4.4,S,28.0,SSW,S,17.0,9.0,61.0,56.0,1015.8,1015.5,15.5,17.7,Yes,No,-38.1,147.0667,Victoria,25,12,2009,0.0
Penrith,9.2,21.1,0.0,NW,52.0,NE,W,6.0,26.0,74.0,32.0,1017.4,1015.0,14.6,19.6,No,No,-33.7511,150.6942,New South Wales,1,7,2009,0.0
Williamtown,15.8,24.7,0.0,SE,31.0,ESE,SE,11.0,24.0,73.0,63.0,1011.4,1007.8,21.4,23.5,No,No,-32.80899676,151.8389966,New South Wales,10,12,2011,0.0
GoldCoast,16.1,24.6,0.0,N,50.0,N,N,15.0,30.0,76.0,76.0,1013.6,1010.0,21.2,21.1,No,Yes,-28.0167,153.4,Queensland,7,9,2009,7.0
Townsville,24.0,27.9,164.6,NE,50.0,E,E,30.0,15.0,94.0,86.0,1007.1,1005.0,25.0,26.8,Yes,Yes,-19.2564,146.8183,Queensland,18,2,2014,69.8
Launceston,7.2,13.0,0.0,SSE,37.0,ESE,S,11.0,6.0,81.0,59.0,1020.7,1019.5,9.0,12.4,No,No,-41.4419,147.145,Tasmania,11,8,2011,0.0
Ballarat,8.4,14.2,0.0,NNW,102.0,N,NNW,37.0,44.0,47.0,80.0,1000.4,996.9,11.0,9.7,No,Yes,-37.55,143.85,Victoria,5,9,2012,2.4
Moree,5.4,20.4,1.4,S,30.0,SSW,S,20.0,13.0,84.0,52.0,1021.7,1018.7,11.6,20.0,Yes,No,-29.465,149.8344,New South Wales,4,9,2015,0.0
Brisbane,12.8,25.3,0.0,NE,19.0,S,NE,4.0,9.0,41.0,36.0,1018.7,1015.9,19.9,23.7,No,No,-27.4678,153.0281,Queensland,20,9,2016,0.6
AliceSprings,13.9,38.1,0.0,W,46.0,WSW,W,19.0,30.0,8.0,4.0,1013.7,1009.2,29.7,36.9,No,No,-23.7,133.8667,Northern Territory,25,9,2013,0.0
PearceRAAF,9.2,28.1,0.0,E,50.0,ENE,S,26.0,15.0,35.0,18.0,1023.5,1019.2,20.7,27.3,No,No,-31.6722,116.0318,Western Australia,12,11,2012,0.0
CoffsHarbour,14.5,20.1,0.0,SW,30.0,SW,SSE,17.0,11.0,64.0,65.0,1024.1,1022.4,18.2,18.8,No,No,-30.3022,153.1189,New South Wales,3,7,2013,0.0
Adelaide,9.4,18.2,0.8,N,31.0,ENE,NE,7.0,13.0,78.0,40.0,1019.8,1013.5,10.4,18.0,No,Yes,-34.9289,138.6011,South Australia,22,6,2015,3.4
Sydney,18.0,28.8,0.4,SSW,48.0,W,NE,7.0,6.0,63.0,60.0,1013.1,1009.8,22.7,23.3,No,Yes,-33.865,151.2094,New South Wales,13,11,2015,18.2
MountGinini,12.4,24.9,0.0,WNW,33.0,N,WNW,9.0,13.0,51.0,42.0,1017.4,1015.0,16.7,23.5,No,No,-35.5333,148.7833,New South Wales,23,2,2016,0.0
AliceSprings,27.5,40.9,0.0,NW,59.0,NNW,NW,31.0,28.0,22.0,13.0,1007.5,1003.5,34.2,38.8,No,No,-23.7,133.8667,Northern Territory,19,11,2009,0.0
Penrith,5.0,11.2,0.0,S,17.0,NE,NW,7.0,2.0,97.0,89.0,1017.4,1015.0,7.6,10.8,No,Yes,-33.7511,150.6942,New South Wales,26,7,2009,5.0
SalmonGums,6.7,16.5,0.6,S,46.0,S,S,15.0,28.0,81.0,57.0,1017.4,1015.0,12.4,14.0,No,No,-32.9747,121.638,Western Australia,10,5,2010,0.0
Hobart,8.2,13.8,0.6,NNW,31.0,NNW,NNE,7.0,7.0,91.0,83.0,1025.6,1023.0,10.1,11.9,No,No,-42.8806,147.325,Tasmania,12,6,2012,0.2
GoldCoast,19.9,27.5,5.8,SE,35.0,SSE,SE,26.0,22.0,62.0,63.0,1012.4,1010.4,26.0,26.1,Yes,No,-28.0167,153.4,Queensland,10,2,2012,0.0
Uluru,15.8,23.3,5.6,WSW,43.0,N,W,9.0,24.0,98.0,55.0,1016.4,1013.8,16.3,22.5,Yes,No,-25.344,131.035,Northern Territory,26,5,2014,0.0
Albury,8.9,19.7,0.4,WSW,37.0,W,W,17.0,22.0,79.0,54.0,1015.0,1015.4,11.1,17.5,No,No,-36.0806,146.9158,New South Wales,24,3,2012,0.0
BadgerysCreek,16.2,23.8,0.2,SE,24.0,SSW,ESE,11.0,11.0,80.0,73.0,1022.5,1020.3,19.2,20.4,No,No,-37.7,145.5167,Victoria,17,4,2016,0.0
Hobart,14.3,21.2,0.2,WSW,59.0,NW,W,22.0,24.0,39.0,29.0,995.9,1002.8,17.8,19.4,No,No,-42.8806,147.325,Tasmania,24,1,2009,0.0
CoffsHarbour,8.6,23.5,0.0,ENE,22.0,SSW,E,2.0,15.0,55.0,62.0,1024.2,1020.4,19.2,21.9,No,No,-30.3022,153.1189,New South Wales,26,8,2013,0.0
Penrith,17.2,33.3,0.0,NNW,41.0,NNW,N,4.0,19.0,69.0,63.0,1017.4,1015.0,22.1,24.9,No,Yes,-33.7511,150.6942,New South Wales,20,10,2015,1.4
Walpole,11.4,16.1,1.4,SSW,35.0,SSW,W,13.0,9.0,71.0,72.0,1017.0,1017.2,14.2,14.8,Yes,No,-34.97,116.728,Western Australia,24,5,2010,0.0
Nhil,7.2,12.5,10.4,SW,54.0,WNW,WSW,30.0,31.0,92.0,67.0,1011.0,1011.2,8.5,11.8,Yes,Yes,-36.3333,141.65,Victoria,28,5,2017,3.0
MountGambier,12.0,28.7,0.0,NNE,35.0,NE,NNE,17.0,19.0,79.0,34.0,1008.7,1005.4,17.6,28.5,No,Yes,-37.8294,140.7828,South Australia,20,3,2011,31.6
Walpole,16.6,31.2,0.0,NNE,35.0,N,S,13.0,7.0,50.0,61.0,1017.3,1014.4,23.5,25.9,No,No,-34.97,116.728,Western Australia,11,4,2014,0.0
Dartmoor,7.3,16.1,1.6,NNW,48.0,NNW,WNW,13.0,24.0,99.0,67.0,1012.4,1011.8,10.8,13.9,Yes,Yes,-37.9333296,141.2833322,Victoria,8,8,2012,2.4
Tuggeranong,-2.1,13.0,0.0,N,20.0,NW,NNW,2.0,11.0,100.0,54.0,1027.7,1025.5,1.7,12.7,No,No,-35.4244,149.088,New South Wales,26,7,2013,0.0
Brisbane,24.2,30.4,1.6,SE,31.0,SW,SE,4.0,13.0,81.0,58.0,1018.2,1014.9,24.6,29.2,Yes,Yes,-27.4678,153.0281,Queensland,7,2,2011,6.4
Wollongong,16.1,24.5,0.0,NE,48.0,NE,NNE,19.0,33.0,69.0,72.0,1010.7,1004.2,21.2,22.7,No,No,-34.4331,150.8831,New South Wales,28,11,2013,0.0
Mildura,9.9,28.2,0.0,SSW,31.0,SSE,WSW,11.0,13.0,46.0,23.0,1017.1,1014.2,15.7,24.0,No,No,-34.1889,142.1583,Victoria,19,1,2010,0.0
Wollongong,18.2,24.7,0.0,NE,48.0,NNE,NE,19.0,31.0,80.0,80.0,1013.4,1010.6,21.8,23.6,No,No,-34.4331,150.8831,New South Wales,26,12,2008,0.0
Mildura,16.9,26.1,6.6,SSW,31.0,WSW,SSW,4.0,13.0,91.0,55.0,1011.9,1011.6,17.2,23.3,Yes,No,-34.1889,142.1583,Victoria,16,3,2012,0.2
SydneyAirport,10.0,18.7,0.0,NW,59.0,N,NW,24.0,35.0,43.0,43.0,1006.1,1007.8,16.9,16.0,No,No,-33.865,151.2094,New South Wales,22,6,2012,0.0
Woomera,21.8,27.2,10.6,S,59.0,SSW,SSW,30.0,39.0,82.0,60.0,998.8,1000.6,22.7,26.1,Yes,No,-31.2,136.81,South Australia,15,2,2014,0.2
WaggaWagga,7.0,11.7,2.4,WNW,44.0,W,SW,20.0,24.0,86.0,57.0,1014.4,1018.7,7.5,9.5,Yes,No,-35.1189,147.3689,New South Wales,7,7,2011,0.0
Townsville,14.2,27.6,0.0,ENE,28.0,WNW,ENE,2.0,19.0,77.0,61.0,1015.7,1012.2,21.8,25.7,No,No,-19.2564,146.8183,Queensland,15,6,2009,0.0
SydneyAirport,7.0,15.4,0.0,SSW,50.0,WSW,S,20.0,28.0,57.0,57.0,1018.8,1017.5,10.9,14.8,No,Yes,-33.865,151.2094,New South Wales,26,8,2016,2.4
MountGambier,10.2,33.2,0.0,NNW,81.0,NNE,N,24.0,33.0,34.0,9.0,1014.1,1008.9,21.9,32.6,No,No,-37.8294,140.7828,South Australia,20,11,2012,0.0
Ballarat,9.5,18.5,0.0,WSW,50.0,WSW,SW,24.0,24.0,99.0,98.0,1011.8,1011.5,11.0,15.4,No,No,-37.55,143.85,Victoria,6,3,2015,1.0
Ballarat,5.0,11.5,0.8,WSW,57.0,WSW,SW,26.0,30.0,91.0,96.0,1015.2,1016.4,8.1,7.1,No,Yes,-37.55,143.85,Victoria,17,9,2014,2.0
NorfolkIsland,14.0,18.5,21.6,ENE,57.0,ENE,ENE,35.0,13.0,90.0,94.0,1012.6,1008.1,16.1,16.8,Yes,Yes,-29.0257,167.9416,Tasmania,9,8,2011,8.4
Tuggeranong,15.5,28.4,0.0,SSE,30.0,SE,WNW,4.0,13.0,77.0,34.0,1022.1,1017.3,17.3,26.9,No,No,-35.4244,149.088,New South Wales,12,3,2009,0.0
Hobart,6.0,15.8,0.0,WNW,50.0,NNW,NW,22.0,26.0,65.0,49.0,1017.1,1013.0,13.0,15.1,No,No,-42.8806,147.325,Tasmania,30,6,2013,0.0
PearceRAAF,11.5,26.3,1.0,SW,39.0,NNW,WSW,6.0,20.0,85.0,37.0,1016.9,1015.7,17.0,24.9,No,No,-31.6722,116.0318,Western Australia,24,3,2009,0.0
AliceSprings,20.3,37.3,0.0,S,48.0,SW,SW,9.0,28.0,29.0,10.0,1005.4,1001.3,29.2,36.5,No,No,-23.7,133.8667,Northern Territory,2,2,2010,0.0
Darwin,22.0,33.0,44.6,E,50.0,ENE,NW,9.0,17.0,75.0,47.0,1010.0,1007.7,26.5,32.6,Yes,No,-12.4381,130.8411,Northern Territory,15,11,2015,0.0
SalmonGums,11.2,32.2,0.0,N,39.0,N,NNE,24.0,17.0,38.0,23.0,1017.4,1015.0,24.7,31.2,No,Yes,-32.9747,121.638,Western Australia,30,3,2015,31.6
AliceSprings,12.7,30.4,0.0,NNE,37.0,NE,NE,24.0,17.0,10.0,9.0,1017.0,1013.1,23.4,28.6,No,No,-23.7,133.8667,Northern Territory,19,10,2016,0.0
MelbourneAirport,12.3,16.5,0.2,S,30.0,NW,SE,11.0,15.0,78.0,90.0,1024.8,1024.5,15.1,15.1,No,No,-37.8136,144.9631,Victoria,11,4,2013,0.4
Watsonia,13.9,24.5,0.4,N,39.0,NNW,NNW,15.0,15.0,64.0,42.0,1016.2,1014.1,16.0,23.2,No,No,-37.711,145.083,Victoria,23,3,2013,0.0
Nuriootpa,8.0,15.7,0.2,WSW,59.0,WSW,SW,31.0,31.0,63.0,56.0,1014.7,1014.8,11.9,13.2,No,No,-34.4667,138.9833,South Australia,23,9,2012,0.4
PerthAirport,10.5,29.5,0.0,WSW,28.0,ENE,W,9.0,13.0,33.0,34.0,1018.6,1016.4,21.9,25.7,No,No,-31.9522,115.8589,Western Australia,29,4,2010,0.0
Bendigo,6.7,23.3,0.0,SSE,41.0,ESE,ESE,15.0,24.0,41.0,26.0,1022.0,1017.7,13.8,21.2,No,No,-36.75,144.2667,Victoria,5,12,2011,0.0
Adelaide,12.6,28.8,0.0,WSW,24.0,SE,SW,4.0,13.0,51.0,39.0,1016.8,1013.9,18.2,24.5,No,No,-34.9289,138.6011,South Australia,29,11,2015,0.0
NorahHead,11.5,20.7,0.0,WNW,39.0,NNW,WNW,20.0,15.0,57.0,37.0,1012.5,1007.6,16.4,19.9,No,No,-33.281,151.5791,New South Wales,10,5,2015,0.0
Wollongong,17.0,25.0,0.0,NE,26.0,SSW,NE,2.0,22.0,71.0,64.0,1026.3,1022.6,20.1,24.2,No,No,-34.4331,150.8831,New South Wales,15,3,2010,0.0
Dartmoor,10.2,17.6,0.2,W,54.0,NW,WNW,24.0,33.0,79.0,58.0,1011.6,1012.9,14.7,15.8,No,No,-37.9333296,141.2833322,Victoria,19,9,2009,0.0
Brisbane,12.6,26.1,0.0,SW,20.0,WSW,SE,9.0,6.0,40.0,25.0,1020.7,1016.5,19.5,25.8,No,No,-27.4678,153.0281,Queensland,28,4,2009,0.0
Bendigo,17.3,34.4,0.0,SE,43.0,SSE,W,13.0,15.0,31.0,16.0,1014.1,1011.6,22.8,32.5,No,No,-36.75,144.2667,Victoria,15,12,2015,0.0
PerthAirport,18.3,21.8,0.0,NW,48.0,NNW,SSW,11.0,13.0,65.0,66.0,1004.6,1007.7,20.6,19.3,No,Yes,-31.9522,115.8589,Western Australia,16,11,2016,5.0
SydneyAirport,20.1,23.7,1.6,S,72.0,SSW,S,28.0,41.0,82.0,69.0,1010.5,1011.1,21.0,23.4,Yes,No,-33.865,151.2094,New South Wales,21,2,2012,0.0
Albury,11.3,33.7,0.0,NW,59.0,SE,N,7.0,13.0,57.0,14.0,1009.9,1005.9,21.2,33.2,No,No,-36.0806,146.9158,New South Wales,20,11,2013,0.0
Perth,16.2,34.7,0.0,SW,35.0,E,SW,9.0,19.0,43.0,28.0,1013.2,1009.0,24.9,34.3,No,No,-31.9522,115.8589,Western Australia,4,1,2015,0.0
AliceSprings,-4.0,16.2,0.0,ESE,54.0,ESE,ESE,9.0,28.0,29.0,27.0,1028.9,1025.3,6.4,15.5,No,No,-23.7,133.8667,Northern Territory,5,7,2012,0.0
Darwin,23.2,33.3,0.0,ENE,41.0,ENE,E,20.0,19.0,70.0,37.0,1011.2,1007.8,27.1,32.4,No,No,-12.4381,130.8411,Northern Territory,11,6,2013,0.0
Brisbane,8.7,21.6,0.0,ESE,28.0,SW,SE,7.0,11.0,55.0,52.0,1025.5,1024.0,14.5,19.8,No,No,-27.4678,153.0281,Queensland,13,6,2010,0.0
NorahHead,7.0,20.5,0.0,NW,30.0,WNW,NW,6.0,13.0,47.0,36.0,1022.5,1015.7,12.4,19.5,No,No,-33.281,151.5791,New South Wales,8,8,2012,0.0
Wollongong,11.5,19.8,0.2,WNW,69.0,W,W,24.0,30.0,42.0,34.0,1013.4,1012.5,15.2,18.8,No,No,-34.4331,150.8831,New South Wales,8,9,2012,0.0
Hobart,6.5,13.0,0.0,N,30.0,NW,NNW,17.0,11.0,77.0,56.0,1016.2,1016.0,7.6,12.2,No,No,-42.8806,147.325,Tasmania,13,7,2008,0.0
Tuggeranong,-0.8,15.8,0.0,W,28.0,WNW,NW,2.0,15.0,100.0,57.0,1021.1,1017.0,3.3,14.9,No,No,-35.4244,149.088,New South Wales,14,8,2009,0.2
Brisbane,10.2,19.2,0.0,WSW,41.0,W,W,9.0,19.0,49.0,37.0,1018.0,1014.2,13.3,18.4,No,No,-27.4678,153.0281,Queensland,14,7,2015,0.0
Brisbane,14.7,25.8,0.0,WSW,31.0,N,W,6.0,15.0,60.0,42.0,1015.9,1012.7,19.8,25.2,No,No,-27.4678,153.0281,Queensland,23,7,2009,0.0
Nhil,6.6,18.6,0.2,NNW,43.0,NNW,NNW,11.0,26.0,83.0,48.0,1015.3,1010.2,10.5,17.7,No,No,-36.3333,141.65,Victoria,11,8,2013,1.0
NorfolkIsland,10.8,17.8,0.0,NNE,43.0,ENE,NE,20.0,22.0,63.0,79.0,1024.5,1020.8,15.3,15.6,No,Yes,-29.0257,167.9416,Tasmania,12,7,2015,6.4
Watsonia,12.7,30.4,0.0,SW,31.0,ENE,SW,6.0,17.0,66.0,30.0,1012.7,1009.0,18.3,28.7,No,No,-37.711,145.083,Victoria,18,2,2009,0.0
Mildura,9.9,20.2,0.8,WSW,43.0,W,WSW,19.0,28.0,80.0,70.0,1018.6,1018.0,15.0,18.1,No,No,-34.1889,142.1583,Victoria,11,5,2015,0.6
